Sample_ID,Timestamp,Ground_Truth_Class,Predicted_Threat_Class,Confidence_Score (%),Physical_Actual_Signal (tcp.len),Digital_Twin_Forecast (tcp.len),Mean_Continuous_Residual,Operational_Filter_Decision,Filter_Reason,Primary_SHAP_Risk_Driver,Operational_Outcome,Industrial_Protection_Benefit
412,2026-08-23 11:45:22,DDoS_TCP,DDoS_TCP,99.91,0.0,0.0,4090.312,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
413,2026-08-23 11:45:23,Port_Scanning,Port_Scanning,99.86,0.0,0.0,1470.2782,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
414,2026-08-23 11:45:23,DDoS_HTTP,DDoS_HTTP,99.68,22.0,1.88,2568.3617,PASS,High-fidelity alert: Confidence (99.7%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
415,2026-08-23 11:45:24,Normal,Normal,99.88,0.0,0.0,785.8512,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
416,2026-08-23 11:45:24,MITM,MITM,35.08,0.0,0.0,2444.735,SUPPRESS,Alert suppressed: Low model confidence (35.1% < 65.0%).,arp.opcode,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
417,2026-08-23 11:45:25,DDoS_HTTP,DDoS_HTTP,49.09,0.0,0.0,3942.1367,SUPPRESS,Alert suppressed: Low model confidence (49.1% < 65.0%).,http.content_length,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
418,2026-08-23 11:45:25,SQL_injection,SQL_injection,99.79,0.0,0.0,4971.3203,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
419,2026-08-23 11:45:26,MITM,MITM,99.84,5353.0,4.46,2877.2459,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['arp.opcode'] match known domain mechanics.,arp.opcode,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
420,2026-08-23 11:45:26,Vulnerability_scanner,Vulnerability_scanner,99.96,315.0,4.67,7073.7925,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
421,2026-08-23 11:45:27,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,3842.514,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
422,2026-08-23 11:45:27,MITM,Ransomware,27.84,0.0,0.0,1638.9477,SUPPRESS,Alert suppressed: Low model confidence (27.8% < 65.0%).,tcp.len,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
423,2026-08-23 11:45:28,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,11983.0842,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
424,2026-08-23 11:45:28,Fingerprinting,Fingerprinting,97.3,0.0,0.0,3216.2748,PASS,High-fidelity alert: Confidence (97.3%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
425,2026-08-23 11:45:29,Port_Scanning,Port_Scanning,99.72,0.0,0.0,564.281,PASS,High-fidelity alert: Confidence (99.7%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
426,2026-08-23 11:45:29,Ransomware,Ransomware,99.9,0.0,0.0,2986.7136,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
427,2026-08-23 11:45:30,Port_Scanning,Port_Scanning,99.87,0.0,0.0,2827.9073,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
428,2026-08-23 11:45:30,DDoS_TCP,DDoS_TCP,99.96,120.0,1.01,133023122.2385,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
429,2026-08-23 11:45:31,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,13758.3674,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
430,2026-08-23 11:45:31,XSS,XSS,73.87,0.0,0.0,756.3823,PASS,High-fidelity alert: Confidence (73.9%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
431,2026-08-23 11:45:32,Normal,Normal,95.36,0.0,0.0,1017.6669,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
432,2026-08-23 11:45:32,DDoS_HTTP,DDoS_HTTP,99.46,18.0,4.6,1967.697,PASS,High-fidelity alert: Confidence (99.5%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
433,2026-08-23 11:45:33,DDoS_TCP,DDoS_TCP,99.92,120.0,2.79,189060674.5165,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
434,2026-08-23 11:45:33,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,7522.9519,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
435,2026-08-23 11:45:34,Fingerprinting,Fingerprinting,98.39,0.0,0.0,6483.1811,PASS,High-fidelity alert: Confidence (98.4%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
436,2026-08-23 11:45:34,Normal,Normal,99.92,0.0,0.0,5463.1171,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
437,2026-08-23 11:45:35,Port_Scanning,Port_Scanning,53.72,0.0,0.0,2999.5228,SUPPRESS,Alert suppressed: Low model confidence (53.7% < 65.0%).,tcp.dstport,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
438,2026-08-23 11:45:35,DDoS_TCP,DDoS_TCP,99.93,120.0,5.3,117475658.766,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
439,2026-08-23 11:45:36,DDoS_HTTP,DDoS_HTTP,44.08,0.0,0.0,1077.3221,SUPPRESS,Alert suppressed: Low model confidence (44.1% < 65.0%).,http.content_length,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
440,2026-08-23 11:45:36,Port_Scanning,Port_Scanning,99.94,0.0,0.0,169873828.5996,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
441,2026-08-23 11:45:37,SQL_injection,SQL_injection,99.76,0.0,0.0,1412.1818,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
442,2026-08-23 11:45:37,MITM,MITM,37.88,0.0,0.0,1963.2499,SUPPRESS,Alert suppressed: Low model confidence (37.9% < 65.0%).,arp.opcode,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
443,2026-08-23 11:45:38,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,10550.2678,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
444,2026-08-23 11:45:38,Vulnerability_scanner,Vulnerability_scanner,99.95,313.0,10.34,7188.6603,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
445,2026-08-23 11:45:39,DDoS_HTTP,DDoS_HTTP,99.47,19.0,8.28,90.2082,PASS,High-fidelity alert: Confidence (99.5%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
446,2026-08-23 11:45:39,Ransomware,Ransomware,99.95,464.0,8.22,30784.3292,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
447,2026-08-23 11:45:40,Port_Scanning,Port_Scanning,99.94,0.0,0.0,87782912.6238,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
448,2026-08-23 11:45:40,MITM,MITM,30.63,0.0,0.0,1688.5278,SUPPRESS,Alert suppressed: Low model confidence (30.6% < 65.0%).,arp.opcode,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
449,2026-08-23 11:45:41,SQL_injection,SQL_injection,64.61,0.0,0.0,3347.5644,SUPPRESS,Alert suppressed: Low model confidence (64.6% < 65.0%).,http.content_length,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
450,2026-08-23 11:45:41,XSS,XSS,65.9,0.0,0.0,3276.7346,PASS,High-fidelity alert: Confidence (65.9%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
451,2026-08-23 11:45:42,DDoS_UDP,DDoS_UDP,99.94,0.0,0.0,84018.6828,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
452,2026-08-23 11:45:42,Fingerprinting,Fingerprinting,97.48,0.0,0.0,10130.2654,PASS,High-fidelity alert: Confidence (97.5%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
453,2026-08-23 11:45:43,DDoS_HTTP,DDoS_HTTP,99.56,22.0,0.0,167072.2219,PASS,High-fidelity alert: Confidence (99.6%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
454,2026-08-23 11:45:43,Password,Password,95.69,0.0,0.0,3935.9751,PASS,High-fidelity alert: Confidence (95.7%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
455,2026-08-23 11:45:44,Password,Password,99.06,0.0,0.0,6853.0775,PASS,High-fidelity alert: Confidence (99.1%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
456,2026-08-23 11:45:44,Ransomware,Ransomware,99.95,0.0,0.0,66818.2172,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
457,2026-08-23 11:45:45,Uploading,Uploading,99.08,0.0,0.0,4124.4348,PASS,High-fidelity alert: Confidence (99.1%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
458,2026-08-23 11:45:45,Ransomware,Ransomware,99.96,464.0,3.19,39493.6764,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
459,2026-08-23 11:45:46,Backdoor,Backdoor,99.95,0.0,0.0,265366.6901,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
460,2026-08-23 11:45:46,DDoS_HTTP,Password,39.15,0.0,0.0,1487.4014,SUPPRESS,Alert suppressed: Low model confidence (39.1% < 65.0%).,tcp.dstport,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
461,2026-08-23 11:45:47,Normal,Normal,99.84,0.0,0.0,4394.1027,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
462,2026-08-23 11:45:47,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,5108.8015,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
463,2026-08-23 11:45:48,DDoS_ICMP,DDoS_ICMP,99.95,0.0,0.0,10299.975,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
464,2026-08-23 11:45:48,MITM,MITM,99.78,58122.0,22.84,8336.8601,PASS,High-fidelity alert: Confidence (99.8%) meets threshold and features ['arp.opcode'] match known domain mechanics.,arp.opcode,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
465,2026-08-23 11:45:49,DDoS_ICMP,DDoS_ICMP,99.94,0.0,0.0,9099.5274,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['icmp.checksum'] match known domain mechanics.,icmp.checksum,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
466,2026-08-23 11:45:49,MITM,MITM,85.21,0.0,0.0,5872.1174,PASS,High-fidelity alert: Confidence (85.2%) meets threshold and features ['arp.opcode'] match known domain mechanics.,arp.opcode,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
467,2026-08-23 11:45:50,Fingerprinting,Fingerprinting,99.16,0.0,0.0,4882.8483,PASS,High-fidelity alert: Confidence (99.2%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
468,2026-08-23 11:45:50,Ransomware,Ransomware,99.63,0.0,0.0,1433.2869,PASS,High-fidelity alert: Confidence (99.6%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
469,2026-08-23 11:45:51,Fingerprinting,Fingerprinting,99.01,0.0,0.0,40205.6301,PASS,High-fidelity alert: Confidence (99.0%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
470,2026-08-23 11:45:51,Uploading,Uploading,99.38,0.0,0.0,1485.9232,PASS,High-fidelity alert: Confidence (99.4%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
471,2026-08-23 11:45:52,DDoS_HTTP,DDoS_HTTP,95.59,278.0,5.42,517.9112,PASS,High-fidelity alert: Confidence (95.6%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
472,2026-08-23 11:45:52,Ransomware,Ransomware,99.89,0.0,0.0,26154.425,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
473,2026-08-23 11:45:53,DDoS_TCP,DDoS_TCP,99.97,120.0,1.66,169321803.2438,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
474,2026-08-23 11:45:53,DDoS_TCP,DDoS_TCP,99.85,0.0,0.0,2637.7283,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
475,2026-08-23 11:45:54,MITM,Ransomware,28.93,0.0,0.0,3443.5322,SUPPRESS,Alert suppressed: Low model confidence (28.9% < 65.0%).,tcp.len,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
476,2026-08-23 11:45:54,DDoS_UDP,DDoS_UDP,99.94,0.0,0.0,324271.3187,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
477,2026-08-23 11:45:55,Fingerprinting,Fingerprinting,99.4,0.0,0.0,7235.8138,PASS,High-fidelity alert: Confidence (99.4%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
478,2026-08-23 11:45:55,DDoS_HTTP,DDoS_HTTP,99.68,0.0,0.0,6587234.125,PASS,High-fidelity alert: Confidence (99.7%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
479,2026-08-23 11:45:56,Fingerprinting,Fingerprinting,99.4,0.0,0.0,11243.4365,PASS,High-fidelity alert: Confidence (99.4%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
480,2026-08-23 11:45:56,Fingerprinting,Fingerprinting,99.11,0.0,0.0,6098.0136,PASS,High-fidelity alert: Confidence (99.1%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
481,2026-08-23 11:45:57,Vulnerability_scanner,Vulnerability_scanner,81.1,0.0,0.0,6463.6243,PASS,High-fidelity alert: Confidence (81.1%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
482,2026-08-23 11:45:57,DDoS_UDP,DDoS_UDP,99.97,0.0,0.0,19122.0683,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
483,2026-08-23 11:45:58,Password,Password,99.7,0.0,0.0,5802.1712,PASS,High-fidelity alert: Confidence (99.7%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
484,2026-08-23 11:45:58,XSS,XSS,99.68,0.0,0.0,75182.7765,PASS,High-fidelity alert: Confidence (99.7%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
485,2026-08-23 11:45:59,Normal,Normal,99.95,0.0,0.0,4502.9807,NORMAL,Traffic classified as normal baseline behavior,tcp.dstport,HEALTHY BASELINE (Normal Operation Preserved),Normal Dynamics Maintained
486,2026-08-23 11:45:59,MITM,MITM,32.99,0.0,0.0,7282.2643,SUPPRESS,Alert suppressed: Low model confidence (33.0% < 65.0%).,arp.opcode,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
487,2026-08-23 11:46:00,DDoS_HTTP,DDoS_HTTP,99.51,38.0,0.42,6961.6124,PASS,High-fidelity alert: Confidence (99.5%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
488,2026-08-23 11:46:00,Uploading,Uploading,99.56,0.0,0.0,147.0071,PASS,High-fidelity alert: Confidence (99.6%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
489,2026-08-23 11:46:01,Uploading,Uploading,99.13,0.0,0.0,4878.6282,PASS,High-fidelity alert: Confidence (99.1%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
490,2026-08-23 11:46:01,Fingerprinting,Ransomware,56.27,0.0,0.0,2364.9906,SUPPRESS,Alert suppressed: Low model confidence (56.3% < 65.0%).,tcp.len,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
491,2026-08-23 11:46:02,DDoS_TCP,DDoS_TCP,99.94,0.0,0.0,2247.9235,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
492,2026-08-23 11:46:02,Port_Scanning,Port_Scanning,99.94,0.0,0.0,22574721.5352,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
493,2026-08-23 11:46:03,Uploading,Uploading,99.06,0.0,0.0,3135.638,PASS,High-fidelity alert: Confidence (99.1%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
494,2026-08-23 11:46:03,Vulnerability_scanner,Vulnerability_scanner,99.96,280.0,3.8,4978.939,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
495,2026-08-23 11:46:04,Vulnerability_scanner,Vulnerability_scanner,99.96,495.0,1.91,7034.1325,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
496,2026-08-23 11:46:04,Fingerprinting,Fingerprinting,98.75,0.0,0.0,2341.7022,PASS,High-fidelity alert: Confidence (98.7%) meets threshold and features ['tcp.flags'] match known domain mechanics.,tcp.flags,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
497,2026-08-23 11:46:05,MITM,MITM,36.88,0.0,0.0,2735.5559,SUPPRESS,Alert suppressed: Low model confidence (36.9% < 65.0%).,arp.opcode,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
498,2026-08-23 11:46:05,DDoS_HTTP,DDoS_HTTP,70.25,0.0,0.0,4734.4942,PASS,High-fidelity alert: Confidence (70.2%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
499,2026-08-23 11:46:06,Uploading,Uploading,88.4,107.0,1.03,719.9207,PASS,High-fidelity alert: Confidence (88.4%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
500,2026-08-23 11:46:06,Ransomware,Ransomware,99.94,0.0,0.0,97395.4512,PASS,High-fidelity alert: Confidence (99.9%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
501,2026-08-23 11:46:07,DDoS_UDP,DDoS_UDP,99.97,0.0,0.0,213910.213,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
502,2026-08-23 11:46:07,XSS,XSS,98.47,0.0,0.0,1338.4283,PASS,High-fidelity alert: Confidence (98.5%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
503,2026-08-23 11:46:08,MITM,Ransomware,30.72,0.0,0.0,1140270.182,SUPPRESS,Alert suppressed: Low model confidence (30.7% < 65.0%).,tcp.len,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
504,2026-08-23 11:46:08,Backdoor,Backdoor,99.95,0.0,0.0,129804.9229,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['tcp.dstport'] match known domain mechanics.,tcp.dstport,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
505,2026-08-23 11:46:09,Fingerprinting,Ransomware,43.02,0.0,0.0,7283.632,SUPPRESS,Alert suppressed: Low model confidence (43.0% < 65.0%).,tcp.len,SUPPRESSED BY FILTER (Noise / False Alarm Prevented),Actuator Shutdown / Operator Fatigue Prevented
506,2026-08-23 11:46:09,Uploading,Uploading,98.54,0.0,0.0,2369.5983,PASS,High-fidelity alert: Confidence (98.5%) meets threshold and features ['tcp.len'] match known domain mechanics.,tcp.len,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
507,2026-08-23 11:46:10,DDoS_HTTP,DDoS_HTTP,99.44,39.0,2.18,1598.9851,PASS,High-fidelity alert: Confidence (99.4%) meets threshold and features ['http.content_length'] match known domain mechanics.,http.content_length,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
508,2026-08-23 11:46:10,DDoS_UDP,DDoS_UDP,99.96,0.0,0.0,106980.9107,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
509,2026-08-23 11:46:11,DDoS_UDP,DDoS_UDP,99.97,0.0,0.0,209680.0063,PASS,High-fidelity alert: Confidence (100.0%) meets threshold and features ['udp.port'] match known domain mechanics.,udp.port,DISPATCHED TO SOC OPERATOR (Verified Incident),Critical Threat Intercepted
